타임스탬프,한남대학교 AI융합학과 재학 혹은 다전공 여부를 선택해 주세요.,"아래의 좌석 배치도를 참고하여 본인이 강의실에서 주로 착석하는 위치를 선택해 주세요. 
(*타학과 학생의 경우 수강 인원 40명 이상 이상의 전공 과목을 기준으로 작성)",본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [1],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [2],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [3],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [4],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [5],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [6],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [7],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [8],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [9],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [10],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [11],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [12],본인의 성별을 입력해 주세요.,본인의  신장(cm)을 입력해 주세요.,"본인의  좌우 교정시력을 입력해 주세요.

<*좌우 교정시력 확인 방법>
1. [본인이 이용하는 안경원 전화 문의]
2. [한국건강관리협회 - 건강검진 - 예약안내 - 결과조회 ] [좌]","본인의  좌우 교정시력을 입력해 주세요.

<*좌우 교정시력 확인 방법>
1. [본인이 이용하는 안경원 전화 문의]
2. [한국건강관리협회 - 건강검진 - 예약안내 - 결과조회 ] [우]","총 평점 평균을 입력해 주세요.

<*평점 평균 확인 방법>
1. [HNU 하이포털 - 수업 - 전체성적조회 - 총 평점 평균]
2. [에브리타임 - 시간표 - 학점 계산기 - 평균 학점]","해당 강의 흥미도를 입력해 주세요.
(*강의 흥미도 : 강의 집중도와 수업 참여 의지가 높아질 정도의 흥미) ","해당 강의 교수님과의 친밀도를 입력해 주세요.
(*교수님과의 친밀도 : 교수님과의 상호작용, 교수님에 대한 신뢰도, 교수님의 지원과 도움의 정도 등을 전반적으로 고려한 본인의 주관적 평가)","본인의 MBTI 검사 결과를 입력해 주세요. 
(*내향성과 외향성만 선택해주시면 됩니다.)","해당 강의에서 함께 수업을 듣는 친구 수를 입력해 주세요.

(*친구 : 수업을 들을 때 함께 모여 앉는 친구 수를 작성해 주시면 됩니다. <본인 제외> )","본인의 대학 생활 만족도를 입력해 주세요.
(*본인의 대학 생활을 전반적으로 고려한 만족도)",본인이 선호하는 학습 방식을 입력해 주세요.,"수업 중 보조 도구로써 전자 기기 사용 여부를 입력해 주세요.

(*전자 기기 : 패드, 태블릿, 노트북 등)","강의 시작 전 강의실 도착 시간의 평균을 입력해 주세요.
(*분 단위로 숫자만 입력해 주세요 / 예:  60, 30, 5, 1(분 전))","수업 중 화장실 이용 빈도를 입력해 주세요.

(* 주차별 수업을 기준으로 하여 평균적으로 화장실을 이용하는 횟수)","수업 중 휴대폰 이용 빈도를 입력해 주세요.

(* 주차별 수업을 기준으로 평균적으로 수업 중 휴대폰을 확인하는 횟수) ","본인의 학번을 입력해 주세요. (*예: 22, 23, 24)",해당 강의의 재수강 여부를 입력해 주세요.,"본인이 강의실 좌석을 선택할 때 영향을 주는 요소가 있나요? 그 요소가 무엇인가요?
자유롭게 기술해 주세요.","봄, 여름, 가을, 겨울 중에 좋아하는 계절을 입력해 주세요.","당신의 생일은 몇 월인가요?
(1월~12월 중 숫자만 입력해 주세요!)",당신의 출생 지역(또는 가장 오래 생활한 지역)은 어디에 속하나요?,"당신의 일주일 평균 외출 횟수를 입력해 주세요.
(숫자만 입력해 주세요!)","당신은 땀이 많은 사람이며, 그로 인한 불쾌지수가 높은가요?",당신이 추위를 타는 정도를 표현해 주세요.,당신은 계절성 알레르기를 경험한 적이 있나요?,당신이 여행을 가게 된다면 가고 싶은 여행지는 돌 중 어디인가요?,당신은 사람들과의 모임이나 활동을 즐기시나요?,당신은 새로운 경험(도전)을 하시는 것을 좋아하시나요?,평소에 당신의 성격을 가장 가깝게 표현한 선택지를 골라주세요.,당신이 가장 좋아하는 색깔 계열은 무엇인가요?,당신이 선호하는 음악 장르가 무엇인가요?,당신이 선호하는 활동은 무엇인가요?,당신이 좋아하는 과일은 무엇인가요?,당신이 좋아하는 음식은 무엇인가요?,연애 횟수,나이(만 나이로 입력해 주세요),성별,고등학교 유형,짝사랑 경험 여부,자신이 느끼기에 주변에 커플이 많다/적다.,이성과 대화가 편하다./편하지 않다.,"현재 동아리, 학회 활동 여부",mbti 외향형(e)인지 내향형인지(i),미팅 소개팅 경험 유무,고백해본 경험이 있다/없다,이성에게 관심이 많다/적다,"
이성 친구 수",연애 상대를 고려할 때 외모 중요시 정도,외모에 신경 쓰는 정도,지난 학기 학점,출석 점수(출석을 잘했다 ->5),과제 점수 (과제를 잘 제출했다 ->5),성별,전공흥미도(흥미있다->5),앉는 자리 위치,주당 공부(복습) 시간 평균,주당 알바 시간,열람실 이용 횟수,저번 학기 교과 외 활동 참여 여부(공모전 등),지난 학기 전공이수학점 ex) 3시수 -> '3' 입력,지난학기 교양이수학점,지난학기 제 2전공(다전공) 이수학점,등교 소요 시간
6-12-2024 23:09:28,예,중간,,,,,,A,,,,,,,여,163.4,1,0.9,4.29,4,2,내향성,0,4,개별 학습 선호,사용하지 않는다,20,0,0,22,재수강이 아니다.,,,9,해당 사항 없음,3,2,2,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,10,신중하게 고민하는 성격,푸른 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",,24,여,남고/여고,해봤다.,적다.,편하지 않다,안함함,내향형,경험이 없다.,없다,적다,0,중요하게 생각 안함,신경안씀,,5,5,여,4,중간,35,18,4,참여함,6,11,3,15
6-12-2024 23:12:02,예,앞,D,,,,,,,,,,,,여,162,0.5,0.5,3.7,4,5,외향성,3,5,개별 학습 선호,사용한다,5,0,1,23,재수강이 아니다.,교수님의 목소리가 잘 들리고 칠판도 잘 보여 집중이 잘된다.,,4,해당 사항 없음,7,8,4,예,노랗게 물든 나무와 갈대가 있는 호수,10,8,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",,21,여,남녀공학,해봤다.,많다.,편하다,함,외향형,경험이 있다.,있다,많다,5,중요하게 생각 안함,신경씀,,5,5,여,4,앞,10,13,10,참여 안함,3학점,6,다전공x,50분
6-12-2024 23:19:14,예,뒤,,,,,,,,,,E,,,남,183,1,1,4.32,3,3,내향성,3,3,개별 학습 선호,사용한다,5,1,1,20,재수강이 아니다.,키,,11,대전 위 지방,6,9,3,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,8,신중하게 고민하는 성격,푸른 계열,클래식. 인디,"물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)",해당 사항 없음,해당 사항 없음,,25,남,남녀공학,해봤다.,많다.,편하다,안함함,내향형,경험이 있다.,있다,많다,1,중요하게 생각함,신경씀,,5,5,남,3,뒤,2,0,0,참여함,6,13,0,10
6-12-2024 23:57:36,예,중간,,,B,B,"A, B",,,,,,,,남,177,1,1,3.8,3,3,내향성,6,3,개별 학습 선호,사용한다,15분전,0,0,21,재수강이 아니다.,에어컨,,10,대전 위 지방,6,7,7,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,4,2,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",,23,남,남고/여고,해봤다.,많다.,편하지 않다,함,내향형,경험이 있다.,있다,많다,3,중요하게 생각함,신경안씀,,5,4,남,3,중간,3,0,살면서 3번,참여 안함,6,12,없다,10분
6-13-2024 1:23:32,예,중간,,,,,C,,,,,,,,남,180,1,1,2.2,2,3,내향성,7,3,개별 학습 선호,사용한다,3,1,0,21,재수강이 아니다.,그냥 중간이 가장 좋은거 같다,가을,7,해당 사항 없음,6,10,3,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,5,3,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",2,21,남,남녀공학,안해봤다.,많다.,편하지 않다,함,내향형,경험이 있다.,없다,많다,0,중요하게 생각함,신경안씀,3.8,5,5,남,2,중간,1,10,0,참여 안함,6,12,0,30
6-13-2024 12:19:57,예,뒤,,,,,,,,,,B,,,남,173,1,1,3.9,3,3,내향성,10,5,그룹 학습 선호,사용한다,10,1,2,23,재수강이 아니다.,너무 앞쪽이 아니면 그날 자리 상황에 따라 중간 혹은 뒤에 앉는다.,겨울,9,대전 위 지방,5,1,1,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,10,10,일단 바로 해보는 성격,푸른 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",0,20,남,남고/여고,해봤다.,적다.,편하지 않다,함,내향형,경험이 있다.,없다,적다,5,중요하게 생각함,신경씀,3.89,3,5,남,3,뒤,3,0,0,참여 안함,12,6,0,15
6-13-2024 12:25:18,예,앞,B,,,,,,,,,,,,여,170,1,0.7,4.24,5,4,외향성,1,5,개별 학습 선호,사용한다,10,0,0,20,재수강이 아니다.,"앞에 앉아야 휴대폰을 안보게되고 더 집중이
잘 됨",봄,4,해당 사항 없음,4,3,8,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,10,10,일단 바로 해보는 성격,푸른 계열,클래식. 인디,"물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",4,23,여,남녀공학,해봤다.,많다.,편하다,함,외향형,경험이 있다.,없다,많다,5,중요하게 생각함,신경씀,4.38,5,5,여,5,앞,0,0,0,참여함,18,3,9,35
6-13-2024 12:31:57,예,앞,D,,,,,,,,,,,,남,180,1,1,2.8,4,3,내향성,2명,3,그룹 학습 선호,사용한다,5,1,2,23,재수강이 아니다.,없다,겨울,8,대전 위 지방,6,8,3,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,6,7,일단 바로 해보는 성격,붉은 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",1,20,남,남고/여고,안해봤다.,많다.,편하다,함,내향형,경험이 없다.,있다,적다,4,중요하게 생각 안함,신경안씀,2.51,4,5,남,2,앞,7시간,9시간,3번,참여 안함,3,18,0,17분
6-13-2024 12:33:38,예,앞,D,,,,,,,,,,,,여,162,0.5,0.5,3.6,5,5,외향성,2,5,개별 학습 선호,사용한다,10,0,2,23,재수강이 아니다.,시력,가을,4,해당 사항 없음,7,9,4,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,9,9,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",5번,20,여,남녀공학,해봤다.,많다.,편하다,함,외향형,경험이 있다.,있다,많다,7,중요하게 생각 안함,신경안씀,3.5,5,5,여,5,앞,10,13시간,10번,참여함,3,12학점,다전공x,50분
6-13-2024 12:34:23,예,뒤,,,,,,,,,E,,,,남,172,1,1,3.9,3,1,내향성,5,4,개별 학습 선호,사용한다,20,0,1,21,재수강이 아니다.,X,가을,4,대전 위 지방,7,7,2,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,8,8,일단 바로 해보는 성격,푸른 계열,해당 사항 없음,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",3,22,남,남고/여고,해봤다.,많다.,편하지 않다,함,내향형,경험이 없다.,있다,많다,2,중요하게 생각 안함,신경씀,,5,4,남,4,뒤,3,14,3,참여 안함,6,12,0,1시간 30분
6-13-2024 12:35:41,예,앞,,D,,,,,,,,,,,여,163,0.8,0.8,3.89,5,3,내향성,3,4,개별 학습 선호,사용한다,20,0,1,20,재수강이 아니다.,부담스럽지않은 자리,겨울,9,대전 아래 지방,5,5,10,아니오,노랗게 물든 나무와 갈대가 있는 호수,5,4,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",3,22,여,남고/여고,해봤다.,많다.,편하다,함,내향형,경험이 없다.,있다,적다,6,중요하게 생각함,신경씀,4,5,5,여,5,중간,2,0,3,참여 안함,12,3,6,50분
6-13-2024 12:36:13,예,앞,C,,,,,,,,,,,,여,155,-0.1,-0.1,4.3,5,4,내향성,2,3,그룹 학습 선호,사용한다,5,0,0,23,재수강이 아니다.,"칠판이 잘 보이는가, 교수님 목소리가 잘 들리는가",여름,3,대전 아래 지방,6,8,5,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,3,7,신중하게 고민하는 성격,붉은 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",1,22,여,남고/여고,해봤다.,많다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,3,중요하게 생각 안함,신경씀,4.3,5,5,여,5,앞,1,15,0,참여 안함,6,14,0,20
6-13-2024 12:38:58,예,앞,,D,,,,,,,,,,,남,173,1,1,3.82,4,5,외향성,3,3,그룹 학습 선호,사용한다,15,0,1,21,재수강이 아니다.,교수님과의 소통,겨울,3,대전 위 지방,7,5,3,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,10,8,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","걷는 활동 (등산, 캠핑, 여행 등)",해당 사항 없음,"화전, 냉면, 빙수, 열무국수",1,22,남,남고/여고,해봤다.,적다.,편하다,함,외향형,경험이 있다.,있다,많다,3,중요하게 생각함,신경씀,3.93,5,5,남,4,앞,6,0,0,참여함,18,6,0,10
6-13-2024 12:39:01,예,중간,,,,,,C,,,,,,,여,160,1,1,3.99,3,3,내향성,1,3,그룹 학습 선호,사용한다,1,0,0,22,재수강이 아니다.,피피티 잘 보이는지 ,겨울,10,대전 위 지방,5,2,9,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,9,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아",해당 사항 없음,1,20,여,남고/여고,해봤다.,많다.,편하다,함,내향형,경험이 없다.,없다,많다,안세봄,중요하게 생각함,신경씀,4.1,3,4,여,4,중간,0,0,0,참여함,8,5,6,10분
6-13-2024 12:39:20,아니오,중간,,,,,,,E,,,,,,남,172,1,1,3.82,3,3,내향성,3,3,그룹 학습 선호,사용한다,3분 전,0,0,23,재수강이 아니다.,약간 둿자리 선호 뭔가 마음이 편해짐,가을,12,대전 위 지방,3,3,7,예,노랗게 물든 나무와 갈대가 있는 호수,3,2,신중하게 고민하는 성격,푸른 계열,"댄스, 랩, 힙합","실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",3,19,남,남녀공학,해봤다.,많다.,편하지 않다,안함,내향형,경험이 없다.,있다,적다,4,중요하게 생각함,신경씀,3.78,5,5,남,2,중간,1시간,0,0,참여 안함,6,16,0,16분
6-13-2024 12:56:51,예,중간,,,,,,,B,,,,,,남,187,1,1,3.3,4,3,외향성,7,4,개별 학습 선호,사용한다,10,0,1,21,재수강이 아니다.,아는사람 앉아있는곳 주변,봄,3,해당 사항 없음,5,7,3,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,7,5,일단 바로 해보는 성격,푸른 계열,클래식. 인디,"물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)",해당 사항 없음,해당 사항 없음,셀수 없이 많음,22,남,남고/여고,해봤다.,많다.,편하다,함,외향형,경험이 있다.,있다,많다,셀수 없이 많음,중요하게 생각함,신경씀,3,5,4,남,4,중간,시험기간 아니면 안함.,10,시험기간 아니면 안감,참여 안함,0,12,0,1시간
6-13-2024 13:13:53,예,중간,,,,,,C,,,,,,,남,170,1,1,3.65,4,3,외향성,6,4,개별 학습 선호,사용한다,15분전,0,1,21,재수강이 아니다.,,가을,3,해당 사항 없음,7,3,10,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,7,5,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)","딸기, 한라봉, 수박, 복숭아","화전, 냉면, 빙수, 열무국수",2번,22,남,남고/여고,해봤다.,많다.,편하다,안함,외향형,경험이 있다.,있다,많다,5,중요하게 생각함,신경씀,18,5,5,남,4,중간,5,18,0,참여 안함,3,4,0,20분
6-13-2024 13:22:27,예,중간,,,,,A,,,,,,,,여,162,1,0.9,4.29,4,2,내향성,0,4,개별 학습 선호,사용하지 않는다,20,0,0,22,재수강이 아니다.,,겨울,9,해당 사항 없음,3,2,2,예,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,2,10,신중하게 고민하는 성격,푸른 계열,클래식. 인디,"실내 활동 (독서, 게임, 요가 등)","딸기, 한라봉, 수박, 복숭아","송편, 호빵, 군고구마, 팥죽",1,22,여,남고/여고,해봤다.,적다.,편하지 않다,안함,내향형,경험이 없다.,없다,적다,1,중요하게 생각 안함,신경안씀,4.26,5,5,여,3,중간,35,16,7,참여함,6,11,3,15
6-13-2024 13:29:05,예,앞,C,,,,,,,,,,,,여,167,1,1,4.13,4,3,내향성,1,4,개별 학습 선호,사용한다,60,0,0,20,재수강이 아니다.,앞에 사람있으면 거슬려서,가을,9,해당 사항 없음,7,10,10,아니오,꽃과 파릇한 나무가 있고 시원한 강이 보이는 곳,8,1,일단 바로 해보는 성격,푸른 계열,"댄스, 랩, 힙합","물 또는 눈에서 하는 활동 (서핑, 수영, 워터파크, 스키, 썰매 등)",해당 사항 없음,해당 사항 없음,1,22,여,남녀공학,해봤다.,많다.,편하다,함,내향형,경험이 없다.,없다,많다,7,중요하게 생각함,신경씀,3.99,5,5,여,3,앞,0,27,0,참여함,17,0,11,60
